FID,F_id,power,ObjID,pop_densit,road,building_3,cluster_id,priority_s,a,POINT_X,POINT_Y
105,node/8550784332,tower,12381,27499.01692,1532.620392,0.000196458,0,-0.32882987,0.91400819,37742997.82,2562084.75
106,node/8550784348,tower,12397,25745.49708,1476.583415,0.000182752,0,-0.550321968,0.82524808,37743092.57,2562116.22
107,node/8550784349,tower,12398,24688.28403,1476.583415,0.000184778,0,-0.583342035,0.812015713,37743071.62,2562119.304
108,node/8550784352,tower,12401,24593.91278,1476.583415,0.000184778,0,-0.588141566,0.810092363,37743044.57,2562125.968
109,node/8550784343,tower,12392,23268.88942,1476.583415,0.000182752,0,-0.673115421,0.776040183,37743119.66,2562133.066
110,node/8550784342,tower,12391,21927.28734,1476.583415,0.000182752,0,-0.745070179,0.74720524,37743144.22,2562152.608
111,node/8550563085,tower,11177,24449.80533,1431.473145,0.000184778,0,-0.631869189,0.79256908,37743020.77,2562152.648
112,node/8550784347,tower,12396,18980.09872,1353.002726,0.000182752,0,-1.011925501,0.640266402,37743122.92,2562253.138
113,node/8550784341,tower,12390,17420.42253,1353.002726,0.000174885,0,-1.138054616,0.589721782,37743168.5,2562273.965
114,node/8550784344,tower,12393,16989.37547,1353.002726,0.000163875,0,-1.236222752,0.550382164,37743150.72,2562285.159
115,node/8550784340,tower,12389,13972.04607,1353.002726,0.000163875,0,-1.38960947,0.48891441,37743178.24,2562351.358
116,node/8550784346,tower,12395,15904.10611,1352.501129,0.000163875,0,-1.290697525,0.5285521,37743139.28,2562354.415
117,node/8550784345,tower,12394,15984.4492,1352.501129,0.000163875,0,-1.286653023,0.530172882,37743153.39,2562357.925
118,node/8550747793,tower,11240,23566.03133,1688.263489,0.000218021,0,-0.721734188,0.756556838,37742724.96,2560231.192
119,node/8550747813,tower,11258,25593.73791,1749.204915,0.000221944,0,-0.773807939,0.735688952,37742678.9,2560324.902
120,node/8550784319,tower,12368,29306.09881,1774.805695,0.000230673,0,-0.791366547,0.728652566,37742707.98,2560553.264
121,node/8550784328,tower,12377,28951.56899,1774.805695,0.000231042,0,-0.798999411,0.725593794,37742678.95,2560556.073
122,node/8550783361,tower,12204,6653.173086,1387.416992,0.000132179,1,-1.381348499,0.492224888,37742575.14,2563790.494
123,node/8550783362,tower,12205,5059.064143,1387.416992,0.000131715,1,-1.384860075,0.490817669,37742406.38,2563983.197
124,node/9673632120,tower,15123,6470.807023,1627.685242,0.00012613,1,-1.97515557,0.254264343,37742144.29,2564217.624
125,node/8550783363,tower,12206,6528.194945,1627.685242,0.000125767,1,-1.973847175,0.254788665,37742155.67,2564294.145
126,node/8550783364,tower,12207,6469.531736,1627.685242,0.000122679,1,-1.964052807,0.258713632,37742177.2,2564341.525
